Date,State,District,Education Stage,School Type,Number of Schools
1/1/2019,Johor,All Districts,secondary,Sekolah Menengah Kerajaan,282
1/1/2019,Johor,All Districts,primary,Sekolah Rendah Kerajaan,907
1/1/2019,Kedah,All Districts,primary,Sekolah Rendah Kerajaan,547
1/1/2019,Kedah,All Districts,secondary,Sekolah Menengah Kerajaan,202
1/1/2019,Kelantan,All Districts,secondary,Sekolah Menengah Kerajaan,177
1/1/2019,Kelantan,All Districts,primary,Sekolah Rendah Kerajaan,418
1/1/2019,Melaka,All Districts,primary,Sekolah Rendah Kerajaan,238
1/1/2019,Melaka,All Districts,secondary,Sekolah Menengah Kerajaan,77
1/1/2019,Negeri Sembilan,All Districts,secondary,Sekolah Menengah Kerajaan,125
1/1/2019,Negeri Sembilan,All Districts,primary,Sekolah Rendah Kerajaan,350
1/1/2019,Pahang,All Districts,primary,Sekolah Rendah Kerajaan,542
1/1/2019,Pahang,All Districts,secondary,Sekolah Menengah Kerajaan,198
1/1/2019,Perak,All Districts,secondary,Sekolah Menengah Kerajaan,250
1/1/2019,Perak,All Districts,primary,Sekolah Rendah Kerajaan,852
1/1/2019,Perlis,All Districts,primary,Sekolah Rendah Kerajaan,74
1/1/2019,Perlis,All Districts,secondary,Sekolah Menengah Kerajaan,30
1/1/2019,Pulau Pinang,All Districts,secondary,Sekolah Menengah Kerajaan,128
1/1/2019,Pulau Pinang,All Districts,primary,Sekolah Rendah Kerajaan,271
1/1/2019,Sabah,All Districts,primary,Sekolah Rendah Kerajaan,"1,074"
1/1/2019,Sabah,All Districts,secondary,Sekolah Menengah Kerajaan,222
1/1/2019,Sarawak,All Districts,secondary,Sekolah Menengah Kerajaan,193
1/1/2019,Sarawak,All Districts,primary,Sekolah Rendah Kerajaan,"1,265"
1/1/2019,Selangor,All Districts,primary,Sekolah Rendah Kerajaan,661
1/1/2019,Selangor,All Districts,secondary,Sekolah Menengah Kerajaan,278
1/1/2019,Terengganu,All Districts,secondary,Sekolah Menengah Kerajaan,152
1/1/2019,Terengganu,All Districts,primary,Sekolah Rendah Kerajaan,352
1/1/2019,W.P. Kuala Lumpur,All Districts,primary,Sekolah Rendah Kerajaan,191
1/1/2019,W.P. Kuala Lumpur,All Districts,secondary,Sekolah Menengah Kerajaan,104
1/1/2019,W.P. Labuan,All Districts,secondary,Sekolah Menengah Kerajaan,10
1/1/2019,W.P. Labuan,All Districts,primary,Sekolah Rendah Kerajaan,17
1/1/2019,W.P. Putrajaya,All Districts,primary,Sekolah Rendah Kerajaan,14
1/1/2019,W.P. Putrajaya,All Districts,secondary,Sekolah Menengah Kerajaan,11
